block_id	color
minecraft:jack_o_lantern	#f48600
minecraft:jigsaw	#746174
minecraft:jukebox	#7f4731
minecraft:jungle_button	#976a4432
minecraft:jungle_door	#b2825e96
minecraft:jungle_fence	#b8876496
minecraft:jungle_fence_gate	#b8876496
minecraft:jungle_hanging_sign	#b2825e50
minecraft:jungle_leaves	#3f8204
minecraft:jungle_log	#403612
minecraft:jungle_planks	#b88764
minecraft:jungle_pressure_plate	#976a44
minecraft:jungle_sapling	#393d0d64
minecraft:jungle_sign	#b8876450
minecraft:jungle_slab	#b88764
minecraft:jungle_stairs	#b88764
minecraft:jungle_trapdoor	#b88764c8
minecraft:jungle_wall_hanging_sign	#b2825e0a
minecraft:jungle_wall_sign	#b887640a
minecraft:jungle_wood	#3e3013
