block_id	color
minecraft:acacia_button	#a0563032
minecraft:acacia_door	#b1664096
minecraft:acacia_fence	#99502b96
minecraft:acacia_fence_gate	#99502b96
minecraft:acacia_hanging_sign	#99502b50
minecraft:acacia_leaves	#29630d
minecraft:acacia_log	#585349
minecraft:acacia_planks	#99502b
minecraft:acacia_pressure_plate	#c26d3f
minecraft:acacia_sapling	#7e982164
minecraft:acacia_sign	#99502b50
minecraft:acacia_slab	#ad5d32
minecraft:acacia_stairs	#ad5d32
minecraft:acacia_trapdoor	#99502bc8
minecraft:acacia_wall_hanging_sign	#99502b0a
minecraft:acacia_wall_sign	#99502b0a
minecraft:acacia_wood	#696259
minecraft:activator_rail	#f2000078
minecraft:air	#0000
minecraft:allium	#d2a6f664
minecraft:amethyst_block	#64479e
minecraft:amethyst_cluster	#64479eaa
minecraft:ancient_debris	#654740
minecraft:andesite	#828281
minecraft:andesite_slab	#747474
minecraft:andesite_stairs	#747474
minecraft:andesite_wall	#747474e6
minecraft:anvil	#303030ee
minecraft:attached_melon_stem	#938d1e64
minecraft:attached_pumpkin_stem	#938d1e64
minecraft:azalea	#6b7d30
minecraft:azalea_leaves	#6b7d30
minecraft:azure_bluet	#f7f7f764
