block_id	color
minecraft:emerald_block	#00b13eff
minecraft:emerald_ore	#48a578ff
minecraft:enchanting_table	#bdb495ff
minecraft:end_gateway	#002c30ff
minecraft:end_portal	#002c30ff
minecraft:end_portal_frame	#00483dff
minecraft:end_rod	#f7dfc950
minecraft:end_stone	#daf4a8ff
minecraft:end_stone_brick_slab	#e8f4b2ff
minecraft:end_stone_brick_stairs	#e8f4b2ff
minecraft:end_stone_brick_wall	#d6d695e6
minecraft:end_stone_bricks	#dbffaeff
minecraft:ender_chest	#04141cff
minecraft:exposed_chiseled_copper	#927460
minecraft:exposed_copper	#927460
minecraft:exposed_copper_bulb	#f09b2c
minecraft:exposed_copper_door	#92746096
minecraft:exposed_copper_grate	#927460aa
minecraft:exposed_copper_trapdoor	#927460c8
minecraft:exposed_cut_copper	#92735f
minecraft:exposed_cut_copper_slab	#92735f
minecraft:exposed_cut_copper_stairs	#92735f
